ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7521032,HS324531,05/23/2010 11:00:00 PM,042XX N WHIPPLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1724,017,33,16,14,1155291,1927985,2010,02/04/2016 06:33:39 AM,41.95819857,-87.704485682,"(41.95819857, -87.704485682)"
7521033,HS324493,04/10/2010 09:00:00 AM,021XX W CHICAGO AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ANIMAL HOSPITAL,false,false,1313,012,1,24,11,1162080,1905317,2010,02/04/2016 06:33:39 AM,41.895856693,-87.680161669,"(41.895856693, -87.680161669)"
7521034,HS323981,05/24/2010 11:32:00 AM,0000X N STATE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,SMALL RETAIL STORE,false,true,0122,001,42,32,26,1176365,1900502,2010,02/04/2016 06:33:39 AM,41.88233367,-87.627841791,"(41.88233367, -87.627841791)"
7521036,HS323850,05/21/2010 03:30:00 PM,052XX S MAPLEWOOD AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0911,009,14,63,08A,1160256,1869939,2010,02/04/2016 06:33:39 AM,41.798813593,-87.687837483,"(41.798813593, -87.687837483)"
7521037,HS324210,05/23/2010 07:00:00 PM,027XX N JANSSEN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1931,019,32,7,06,1166189,1918244,2010,02/04/2016 06:33:39 AM,41.93124236,-87.664700111,"(41.93124236, -87.664700111)"
7521038,HS324487,05/24/2010 05:00:00 PM,010XX N CLARK ST,0810,THEFT,OVER $500,SIDEWALK,false,false,1824,018,42,8,06,1175350,1907323,2010,02/04/2016 06:33:39 AM,41.901073698,-87.63136393,"(41.901073698, -87.63136393)"
7521039,HS324520,05/24/2010 07:19:00 PM,053XX W OHIO ST,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,SIDEWALK,true,false,1524,015,37,25,15,1140836,1903458,2010,02/04/2016 06:33:39 AM,41.89117267,-87.758232841,"(41.89117267, -87.758232841)"
7521040,HS324427,05/24/2010 01:30:00 AM,066XX N ROCKWELL ST,0820,THEFT,$500 AND UNDER,ALLEY,false,false,2412,024,50,2,06,1157785,1943985,2010,02/04/2016 06:33:39 AM,42.002052738,-87.694878373,"(42.002052738, -87.694878373)"
7521041,HS324509,05/24/2010 03:56:00 AM,015XX W MORSE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,2431,024,49,1,26,1164874,1946155,2010,02/04/2016 06:33:39 AM,42.007859248,-87.66873683,"(42.007859248, -87.66873683)"
7521042,HS324482,05/24/2010 06:44:00 PM,063XX S RICHMOND ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,0823,008,15,66,24,1157808,1862360,2010,02/04/2016 06:33:39 AM,41.77806585,-87.697020603,"(41.77806585, -87.697020603)"
7521043,HS324485,05/24/2010 06:45:00 PM,105XX S YATES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,0434,004,10,51,08B,1194208,1835638,2010,02/04/2016 06:33:39 AM,41.703921814,-87.564453754,"(41.703921814, -87.564453754)"
7521044,HS324562,05/24/2010 08:00:00 PM,047XX W MADISON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,true,false,1113,011,28,25,18,1144720,1899599,2010,02/04/2016 06:33:39 AM,41.880510799,-87.744065937,"(41.880510799, -87.744065937)"
7521045,HS324567,05/20/2010 09:30:00 PM,081XX S SOUTH SHORE DR,0890,THEFT,FROM BUILDING,OTHER,false,false,0422,004,7,46,06,1198565,1851591,2010,02/04/2016 06:33:39 AM,41.747590294,-87.547966608,"(41.747590294, -87.547966608)"
7521046,HS324536,05/24/2010 07:25:00 PM,038XX W SUNNYSIDE AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,1723,017,39,14,08B,1150100,1929649,2010,02/04/2016 06:33:39 AM,41.962867649,-87.723526265,"(41.962867649, -87.723526265)"
7521047,HS324505,05/24/2010 08:30:00 AM,111XX S WASHTENAW AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,2212,022,19,75,05,1160365,1830726,2010,02/04/2016 06:33:39 AM,41.691204751,-87.688515352,"(41.691204751, -87.688515352)"
7521048,HS242654,04/05/2010 02:45:00 PM,093XX S VANDERPOEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2221,022,19,72,08B,1166329,1842762,2010,02/04/2016 06:33:39 AM,41.724108902,-87.666339173,"(41.724108902, -87.666339173)"
7521049,HS324443,05/24/2010 06:10:00 PM,034XX W LAWRENCE AVE,0870,THEFT,POCKET-PICKING,CTA BUS,false,false,1712,017,39,14,06,1152766,1931684,2010,02/04/2016 06:33:39 AM,41.968399337,-87.713670197,"(41.968399337, -87.713670197)"
7521050,HS324527,05/24/2010 07:00:00 PM,114XX S HALSTED ST,0560,ASSAULT,SIMPLE,RESTAURANT,false,false,2233,022,34,49,08A,1173032,1829023,2010,02/04/2016 06:33:39 AM,41.686261889,-87.642190243,"(41.686261889, -87.642190243)"
7521051,HS324564,05/24/2010 07:55:00 PM,033XX N MONTICELLO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1732,017,35,21,08B,1151466,1922006,2010,02/04/2016 06:33:39 AM,41.941867914,-87.718705481,"(41.941867914, -87.718705481)"
7521052,HS324563,05/23/2010 05:00:00 PM,106XX S HALSTED ST,0890,THEFT,FROM BUILDING,DAY CARE CENTER,false,false,2233,022,34,49,06,1172865,1834326,2010,02/04/2016 06:33:39 AM,41.700817821,-87.642645932,"(41.700817821, -87.642645932)"
